"","F990_TOTAL_ASSETS_RECENT","CENSUS_STATE_ABBR","CENSUS_COUNTY_NAME","ORG_NAME_CURRENT","Total_Assets"
"267",49957.311,"MS","Benton County","NORTH MISSISSIPPI PRIMARY HEALTH CARE INC",49.957311
"268",43731.695,"MS","Rankin County","JACKSON PREPARATORY SCHOOL FOUNDATION",43.731695
"269",34127.632,"MS","Tate County","THE BADDOUR CENTER INC",34.127632
"270",33345.098,"MS","Madison County","MADISON-RIDGELAND ACADEMY",33.345098
"271",26486.346,"MS","Rankin County","HARTFIELD ACADEMY INC",26.486346
"272",24633.862,"MS","Harrison County","HABITAT FOR HUMANITY OF THE MISSISSIPPI GULF COAST INC",24.633862
"273",381209.209,"MT","Lewis and Clark County","MONTANA HIGHER EDUCATION STUDENT ASSISTANCE CORPORATION",381.209209
"274",140839.354,"MT","Lewis and Clark County","CARROLL COLLEGE",140.839354
"275",58911.808,"MT","Missoula County","HOMEWORD INC",58.911808
"276",38958.964,"MT","Gallatin County","YELLOWSTONE FOREVER",38.958964
"277",30699.129,"MT","Lincoln County","LINCOLN COUNTY COMMUNITY HEALTH CENTER INC",30.699129
"278",29190.539,"MT","Lewis and Clark County","STUDENT ASSISTANCE FOUNDATION OF MONTANA",29.190539
"279",24426.365,"MT","Cascade County","GREAT FLS DEVELOPMENT AUTHORITY INC",24.426365
"280",21513.463,"MT","Missoula County","THE MAUREEN AND MIKE MANSFIELD FOUNDATION",21.513463
"281",21221.304,"MT","Silver Bow County","BUTTE SILVER BOW PRIMARY HEALTH CARE CLINIC INC",21.221304
"282",20100.357,"MT","Toole County","MARIAS HEALTHCARE SERVICES INC",20.100357
"283",1982712.995,"NC","Wake County","NC STATE INVESTMENT FUND INC",1982.712995
"284",1292166.073,"NC","Nash County","THE GOLDEN L E A F LONG-TERM ECONOMIC ADVANCEMENT FOUNDATION IN",1292.166073
"285",691281.957,"NC","Wake County","NORTH CAROLINA STATE UNIVERSITY FOUNDATION INC",691.281957
"286",578700.034,"NC","Orange County","UNC HEALTH FOUNDATION INC",578.700034
"287",404243.208,"NC","Rowan County","CATAWBA COLLEGE",404.243208
"288",403436.279,"NC","Wake County","NORTH CAROLINA COMMUNITY FOUNDATION INC",403.436279
"289",369290.686,"NC","Guilford County","UNIVERSITY OF NORTH CAROLINA AT GREENSBORO INVESTMENT FUND INC",369.290686
"290",255177.582,"NC","Mecklenburg County","CHARLOTTE COUNTRY DAY SCHOOL",255.177582
"291",251123.547,"NC","Wake County","NORTH CAROLINA AGRICULTURAL FOUNDATION INC",251.123547
"292",229874.551,"NC","New Hanover County","WILMINGTON FUTURE INC",229.874551
"293",117005.425,"ND","Stutsman County","UNIVERSITY OF JAMESTOWN",117.005425
"294",60925.273,"ND","Grand Forks County","UND SPORTS FACILITIES INC",60.925273
"295",55038.88,"ND","Richland County","NDSCS FOUNDATION",55.03888
"296",53602.906,"ND","Burleigh County","THE BISMARCK STATE COLLEGE FOUNDATION",53.602906
"297",51735.47,"ND","Ward County","DAKOTA BOYS AND GIRLS RANCH FOUNDATION",51.73547
"298",42371.742,"ND","Ward County","DAKOTA BOYS AND GIRLS RANCH",42.371742
"299",35028.363,"ND","Grand Forks County","4000 VALLEY SQUARE INC DBA WOODSIDE VILL WHEATLAND TERR",35.028363
"300",34054.25,"ND","Pierce County","GOOD SAMARITAN HOSPITAL ASSOCIATION",34.05425
"301",31493.296,"ND","Grand Forks County","VALLEY HOMES AND SERVICES",31.493296
"302",30410.605,"ND","Burleigh County","DELTA WATERFOWL FOUNDATION",30.410605
"303",226685.574,"NE","Lancaster County","NEBRASKA COMMUNITY FOUNDATION",226.685574
"304",114239.127,"NE","Lancaster County","NATIONAL ARBOR DAY FOUNDATION",114.239127
"305",73310.9,"NE","Douglas County","ONEWORLD COMMUNITY HEALTH CENTERS INC",73.3109
"306",47339.605,"NE","York County","YORK UNIVERSITY",47.339605
"307",41078.964,"NE","Wayne County","WAYNE STATE FOUNDATION",41.078964
"308",40209.739,"NE","Lancaster County","CEDARS HOME FOR CHILDREN FOUNDATION INC",40.209739
"309",39590.698,"NE","Dodge County","MASONIC-EASTERN STAR HOME FOR CHILDREN",39.590698
"310",34869.92,"NE","Lancaster County","SOUTHEAST COMMUNITY COLLEGE EDUCATIONAL FDN",34.86992
"311",34530.827,"NE","Douglas County","ROSE BLUMKIN PERFORMING ARTS CENTER FOUNDATION",34.530827
"312",33877.638,"NE","Madison County","NORTHEAST COMMUNITY COLLEGE FOUNDATION",33.877638
"313",953754.407,"NH","Merrimack County","ST PAULS SCHOOL",953.754407
"314",195729.835,"NH","Rockingham County","THE RIVERWOODS COMPANY AT EXETER NEW HAMPSHIRE",195.729835
"315",189182.393,"NH","Merrimack County","NEW HAMPSHIRE COMMUNITY LOAN FUND",189.182393
"316",152158.386,"NH","Grafton County","HOLDERNESS SCHOOL",152.158386
"317",136600.898,"NH","Hillsborough County","NEW HAMPSHIRE CATHOLIC CHARITIES INC",136.600898
"318",127439.171,"NH","Sullivan County","KIMBALL UNION ACADEMY",127.439171
"319",125584.505,"NH","Rockingham County","RIVERWOODS DURHAM",125.584505
"320",103920.665,"NH","Belknap County","NEW HAMPTON SCHOOL",103.920665
"321",101414.271,"NH","Merrimack County","SOCIETY FOR THE PROTECTION OF NEW HAMPSHIRE FORESTS",101.414271
"322",94737.573,"NH","Carroll County","BREWSTER ACADEMY",94.737573
"323",208545.974,"NJ","Somerset County","TRUSTEES OF THE AMERICAN SCHOOL OF CLASSICAL STUDIES AT ATHENS",208.545974
"324",207140.717,"NJ","Mercer County","COMMUNITY OPTIONS INC",207.140717
"325",138459.326,"NJ","Burlington County","THE ESTAUGH",138.459326
"326",81251.438,"NJ","Cumberland County","VINELAND DEVELOPMENT CORPORATION",81.251438
"327",73967.629,"NJ","Morris County","PECK SCHOOL",73.967629
"328",60886.014,"NJ","Camden County","MICHAELS COMMUNITY SERVICES CORPORATION",60.886014
"329",45424.195,"NJ","Bergen County","HOUSING DEVELOPMENT CORPORATION OF BERGEN COUNTY",45.424195
"330",43668.293,"NJ","Middlesex County","THE DOUGLASS FUND",43.668293
"331",41305.505,"NJ","Cumberland County","TRI-COUNTY COMMUNITY ACTION AGENCY INC",41.305505
"332",33653.01,"NJ","Hudson County","NORTH HUDSON COMMUNITY ACTION CORPORATION",33.65301
"333",228547.267,"NM","Santa Fe County","HOMEWISE INC",228.547267
"334",91120.55,"NM","Doña Ana County","BEN ARCHER HEALTH CENTER",91.12055
"335",78678.506,"NM","Chaves County","NEW MEXICO MILITARY INSTITUTE FOUNDATION INC",78.678506
"336",66226.794,"NM","Bernalillo County","HOSANNA",66.226794
"337",59982.548,"NM","Bernalillo County","ARCHAEOLOGICAL CONSERVANCY",59.982548
"338",35551.867,"NM","Bernalillo County","HOPE CHRISTIAN SCHOOLS INC",35.551867
"339",33859.932,"NM","Roosevelt County","NEW MEXICO CHRISTIAN CHILDRENS HOME INC",33.859932
"340",30037.796,"NM","Santa Fe County","SOUTHWEST C A R E CENTER",30.037796
"341",27150.603,"NM","Curry County","ENMRSH INC",27.150603
"342",23430.991,"NM","Doña Ana County","HATCH AREA MEDICAL CENTER FOUNDATION",23.430991
"343",43046.392,"NV","Clark County","CAPSTONE CHRISTIAN ACADEMY",43.046392
"344",40061.041,"NV","Esmeralda County","DEEP SPRINGS CORPORATION",40.061041
"345",28964.796,"NV","Washoe County","LAKE TAHOE SCHOOL",28.964796
"346",28451.438,"NV","White Pine County","RURAL NEVADA DEVELOPMENT CORPORATION",28.451438
"347",23590.49,"NV","Clark County","CRSVLV COLLEGE PREPARATORY INC",23.59049
"348",22974.289,"NV","Clark County","CARDEZA T D & MCD-CARDEZA FDN",22.974289
"349",16302.664,"NV","Carson City","FRIENDS IN SERVICE HELPING-EMERGENCY REFERRAL SERVICE",16.302664
"350",13096.317,"NV","Clark County","NEVADA BALLET THEATRE",13.096317
"351",11828.756,"NV","Clark County","NEVADA STATE UNIVERSITY FOUNDATION",11.828756
"352",11700.411,"NV","Elko County","GREAT BASIN COLLEGE FOUNDATION",11.700411
"353",8764780.414,"NY","New York County","YOUNG MENS CHRISTIAN ASSOCIATION RETIREMENT FUND",8764.780414
"354",1528226.855,"NY","Albany County","RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK",1528.226855
"355",875397.133,"NY","Albany County","HEALTH RESEARCH INCORPORATED",875.397133
"356",785630.158,"NY","New York County","AMERICAN CIVIL LIBERTIES UNION FOUNDATION INC",785.630158
"357",496626.686,"NY","Broome County","FOUNDATION OF THE STATE UNIVERSITY OF NEW YORK AT BINGHAMTON INC",496.626686
"358",389455.496,"NY","Onondaga County","CENTRAL NEW YORK COMMUNITY FOUNDATION INC",389.455496
"359",350110.444,"NY","Erie County","BUFFALO FINE ARTS ACADEMY",350.110444
"360",332549.861,"NY","New York County","FOUNDATION FOR CITY COLLEGE",332.549861
"361",175130.559,"NY","Monroe County","UNITED WAY OF GREATER ROCHESTER AND THE FINGER LAKES INC",175.130559
"362",156931.603,"NY","Oneida County","UTICA UNIVERSITY",156.931603
"363",724573.926,"OH","Butler County","MIAMI UNIVERSITY FOUNDATION INC",724.573926
"364",417060.447,"OH","Hardin County","OHIO NORTHERN UNIVERSITY",417.060447
"365",333927.994,"OH","Mahoning County","YOUNGSTOWN STATE UNIVERSITY FOUNDATION",333.927994
"366",277687.31,"OH","Hamilton County","JOHNSON CHARITABLE GIFT FUND",277.68731
"367",270224.711,"OH","Hamilton County","ZOOLOGICAL SOCIETY OF CINCINNATI",270.224711
"368",197386.443,"OH","Hamilton County","CHARLES P TAFT MEMORIAL FUND",197.386443
"369",121593.936,"OH","Wayne County","WAYNE COUNTY COMMUNITY FOUNDATION",121.593936
"370",94085.268,"OH","Franklin County","DAVE THOMAS FOUNDATION FOR ADOPTION",94.085268
"371",69003.326,"OH","Hamilton County","CINCINNATI DEVELOPMENT FUND INC",69.003326
"372",65271.278,"OH","Van Wert County","MARSH FOUNDATION",65.271278
"373",1430083.372,"OK","Ottawa County","CARLETON UNIVERSITY",1430.083372
"374",476396.078,"OK","Ottawa County","CANADA COUNCIL FOR THE ARTS",476.396078
"375",77584.046,"OK","Oklahoma County","VARIETY CARE INC",77.584046
"376",69878.004,"OK","Tulsa County","PHILBROOK MUSEUM OF ART INC",69.878004
"377",47868.184,"OK","Pontotoc County","EAST CENTRAL UNIVERSITY FOUNDATION INC",47.868184
"378",38825.234,"OK","Bryan County","SOUTHEASTERN FOUNDATION",38.825234
"379",27236.846,"OK","Seminole County","CENTRAL OKLAHOMA FAMILY MEDICAL CENTER INC",27.236846
"380",24532.604,"OK","Oklahoma County","HEARTS FOR HEARING FOUNDATION",24.532604
"381",20622.412,"OK","Seminole County","JASMINE MORAN CHILDRENS MUSEUM FOUNDATION INC",20.622412
"382",19822.004,"OK","Oklahoma County","CHILDRENS MEDICAL RESEARCH INC",19.822004
"383",2259810.093,"OR","Malheur County","UNIVERSITY HEALTH NETWORK",2259.810093
"384",670565,"OR","Malheur County","VICTORIA UNIVERSITY",670.565
"385",356251.7,"OR","Malheur County","SUNNYBROOK FOUNDATION",356.2517
"386",188331.086,"OR","Malheur County","CANADIAN CANCER SOCIETY",188.331086
"387",152549.112,"OR","Malheur County","ROYAL ONTARIO MUSEUM",152.549112
"388",131118.666,"OR","Washington County","VIRGINIA GARCIA MEMORIAL HEALTH CENTER",131.118666
"389",69347.42,"OR","Yamhill County","DELPHI SCHOOLS INC",69.34742
"390",61475.492,"OR","Multnomah County","OREGON MUSEUM OF SCIENCE AND INDUSTRY",61.475492
"391",40377.715,"OR","Hood River County","ONE COMMUNITY HEALTH",40.377715
"392",37638.511,"OR","Multnomah County","BONNEVILLE ENVIRONMENTAL FOUNDATION",37.638511
"393",711959.439,"PA","Union County","ANABAPTIST FINANCIAL",711.959439
"394",405995.282,"PA","Mercer County","GROVE CITY COLLEGE",405.995282
"395",376559.315,"PA","Allegheny County","CORNELL MEDICAL BENEFITS TR",376.559315
"396",241019.068,"PA","Delaware County","WILLIAMSON COLLEGE OF THE TRADES",241.019068
"397",233405.899,"PA","Indiana County","FOUNDATION FOR INDIANA UNIVERSITY OF PENNSYLVANIA",233.405899
"398",184171.333,"PA","Cumberland County","MESSIAH HOME",184.171333
"399",156989.8,"PA","Cambria County","CAMBRIA COUNTY ASSOCIATION FOR THE BLIND & HANDICAPPED INC",156.9898
"400",152611.961,"PA","Clarion County","CLARION UNIVERSIY FOUNDATION INC",152.611961
"401",128245.313,"PA","Lancaster County","BEYOND OWNERS GROUP INC",128.245313
"402",121851.629,"PA","Philadelphia County","ZOOLOGICAL SOCIETY OF PHILADELPHIA",121.851629
"403",634783.962,"PR","Aibonito Municipio","MENNONITE GENERAL HOSPITAL INC",634.783962
"404",106970.121,"PR","Mayagüez Municipio","MIGRANT HEALTH CENTER",106.970121
"405",39688.585,"PR","Hatillo Municipio","CORP SERV MED PRIM Y PREV DE HATILLO",39.688585
"406",33241.924,"PR","Camuy Municipio","CAMUY HEALTH SERVICES INC",33.241924
"407",32090.839,"PR","Ciales Municipio","PRYMED MEDICAL CARE INC",32.090839
"408",24263.894,"PR","Humacao Municipio","EDUCATIONAL ASSOCIATES INC HUMACAO COMMUNITY COLLEGE",24.263894
"409",23027.156,"PR","Patillas Municipio","CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC",23.027156
"410",18563.996,"PR","Carolina Municipio","BANCO DE ALIMENTOS PUERTO RICO INC",18.563996
"411",14587.864,"PR","Morovis Municipio","MOROVIS COMMUNITY HEALTH CENTER INC",14.587864
"412",10089.637,"PR","San Juan Municipio","HABITAT FOR HUMANITY INTERNATIONAL",10.089637
"413",137274.449,"RI","Providence County","MARY C WHEELER SCHOOL INC",137.274449
"414",81523.856,"RI","Providence County","MEETING STREET",81.523856
"415",55507.662,"RI","Providence County","COMMUNITY PREPARATORY SCHOOL",55.507662
"416",28474.009,"RI","Providence County","COMPREHENSIVE COMMUNITY ACTION INC",28.474009
"417",28433.462,"RI","Providence County","MS SUPPORT CORPORATION",28.433462
"418",28320.599,"RI","Providence County","UNITED WAY OF RHODE ISLAND INC",28.320599
"419",25696.917,"RI","Newport County","CHURCH COMMUNITY HOUSING CORPORATION",25.696917
"420",23206.171,"RI","Providence County","RHODE ISLAND COMMUNITY FOOD BANK ASSOCIATION",23.206171
"421",22684.612,"RI","Providence County","NORTHWEST COMMUNITY HEALTH CARE",22.684612
"422",16752.666,"RI","Newport County","MARTIN LUTHER KING COMMUNITY CENTER INCORPORATED",16.752666
"423",1048763.389,"SC","Richland County","SOUTH CAROLINA STUDENT LOAN CORPORATION",1048.763389
"424",430210.813,"SC","Greenville County","BUILDING EQUITY SOONER FOR TOMARROW",430.210813
"425",293333.431,"SC","Charleston County","COASTAL COMMUNITY FOUNDATION OF SOUTH CAROLINA INC",293.333431
"426",176644.406,"SC","Charleston County","COLLEGE OF CHARLESTON FOUNDATION",176.644406
"427",101106.452,"SC","Dorchester County","GROWTH",101.106452
"428",75721.528,"SC","Darlington County","COKER UNIVERSITY",75.721528
"429",74413.716,"SC","Horry County","COASTAL EDUCATIONAL FOUNDATION INCORPORATED",74.413716
"430",73030,"SC","Lexington County","LEXINGTON ONE SCHOOL FACILITIES CORPORATION",73.03
"431",68026.738,"SC","Richland County","ALLEN UNIVERSITY",68.026738
"432",67631.181,"SC","Anderson County","TRI-COUNTY TECHNICAL COLLEGE FOUNDATION INC",67.631181
"433",87269.231,"SD","Davison County","DAKOTA WESLEYAN UNIVERSITY",87.269231
"434",56863.772,"SD","Roberts County","GROW SOUTH DAKOTA",56.863772
"435",28796.845,"SD","Codington County","LAKE AREA TECHNICAL COLLEGE FOUNDATION",28.796845
"436",20507.088,"SD","Brown County","ASSOCIATION OF HUTTERIAN BRETHREN CHURCHES INC",20.507088
"437",11455.86,"SD","Davison County","ABBOTT HOUSE INC",11.45586
"438",10471.013,"SD","Pennington County","RAPID CITY CHRISTIAN EDUCATION ASSOCIATION INC",10.471013
"439",10176.863,"SD","Minnehaha County","SOUTHEASTERN BEHAVIORAL HEALTHCARE",10.176863
"440",8292.611,"SD","Minnehaha County","CARROLL INSTITUTE",8.292611
"441",8046.066,"SD","Minnehaha County","CENTER FOR FAMILY MEDICINE",8.046066
"442",7092.431,"SD","Clay County","DAKOTA HOSPITAL ASSOCIATION AND FOUNDATION",7.092431
"443",141822.282,"TN","Hamilton County","BRIGHTBRIDGE INC",141.822282
"444",92618.288,"TN","Shelby County","SOUTHERN COLLEGE OF OPTOMETRY",92.618288
"445",76938.5,"TN","Davidson County","HABITAT FOR HUMANITY OF GREATER NASHVILLE",76.9385
"446",67812.356,"TN","Hawkins County","RURAL HEALTH SERVICES CONSORTIUM INC",67.812356
"447",66448.337,"TN","Hamilton County","GIRLS PREPARATORY SCHOOL INC",66.448337
"448",64626.514,"TN","Shelby County","ORPHEUM THEATRE GROUP",64.626514
"449",59834.34,"TN","Shelby County","ST GEORGES INDEPENDENT SCHOOL",59.83434
"450",55098.689,"TN","Davidson County","DOLLAR GENERAL LITERACY FOUNDATION",55.098689
"451",54006.347,"TN","Hamilton County","VOLUNTEER BEHAVIORAL HEALTH CARE SYSTEM",54.006347
"452",49178.861,"TN","McMinn County","TENNESSEE WESLEYAN UNIVERSITY",49.178861
"453",645699.589,"TX","McLennan County","METHODIST CHILDRENS HOME",645.699589
"454",216507.483,"TX","Travis County","AUSTIN AFFORDABLE HOUSING CORPORATION",216.507483
"455",177249.234,"TX","Taylor County","MCMURRY UNIVERSITY",177.249234
"456",167713.641,"TX","Travis County","PROFESSIONAL CONTRACT SERVICES INC",167.713641
"457",158077.794,"TX","Denton County","KNIGHTS TEMPLAR EYE FOUNDATION INC",158.077794
"458",145541.414,"TX","Dallas County","DALLAS THEOLOGICAL SEMINARY",145.541414
"459",140289.524,"TX","Bexar County","BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER INC",140.289524
"460",116009.147,"TX","Bexar County","EL CENTRO DEL BARRIO INC",116.009147
"461",111822.248,"TX","Brown County","HOWARD PAYNE UNIVERSITY",111.822248
"462",93241.048,"TX","Bexar County","MCNAY ART MUSEUM",93.241048
"463",646949.704,"UT","Salt Lake County","CHALLENGER SCHOOL FOUNDATION",646.949704
"464",65545.272,"UT","Utah County","THE FREEDOM ACADEMY FOUNDATION",65.545272
"465",59077.97,"UT","Salt Lake County","PETE & ARLINE HARMAN TRUST FUND",59.07797
"466",28651.355,"UT","Salt Lake County","H A AND EDNA BENNING CHARITABLE ENDOWMENT FUND",28.651355
"467",28400.847,"UT","Cache County","NEIGHBORHOOD NONPROFIT HOUSING CORPORATION",28.400847
"468",27933.281,"UT","Summit County","MOUNTAINLANDS COMMUNITY HOUSING",27.933281
"469",24636.932,"UT","Salt Lake County","BALLET WEST",24.636932
"470",22682.157,"UT","Summit County","UNITED STATES SKI ASSOCIATION",22.682157
"471",17777.264,"UT","Weber County","MIDTOWN COMMUNITY HEALTH CENTER INC",17.777264
"472",16465.889,"UT","Summit County","CENTER OF EXCELLENCE PROPERTIES FUND",16.465889
"473",584168.697,"VA","Lexington city","VMI FOUNDATION",584.168697
"474",345144.684,"VA","Hampton city","PATIENT ADVOCATE FOUNDATION INC",345.144684
"475",248245.478,"VA","Albemarle County","COLLEGE FOUNDATION OF THE UNIVERSITY OF VIRGINIA",248.245478
"476",233013.283,"VA","Virginia Beach city","CHRISTIAN BROADCASTING NETWORK INC",233.013283
"477",219451.489,"VA","Arlington County","GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC",219.451489
"478",213324.163,"VA","Charlottesville city","SOUTHERN ENVIRONMENTAL LAW CENTER",213.324163
"479",207875.98,"VA","Alexandria city","VOLUNTEERS OF AMERICA INC",207.87598
"480",175187.87,"VA","Norfolk city","EASTERN VIRGINIA MEDICAL SCHOOL FOUNDATION",175.18787
"481",162965.294,"VA","Charlottesville city","UNIVERSITY OF VIRGINIA MCINTIRE SCHOOL OF COMMERCE FOUNDATION",162.965294
"482",144590.449,"VA","Arlington County","INSTITUTE FOR JUSTICE",144.590449
"483",2570.044,"VI","St. Croix Island","ST CROIX ENVIRONMENTAL ASSOCIATION",2.570044
"484",682.783,"VI","St. Croix Island","CARIBBEAN DRAG RACING ASSOCIATION INC",0.682783
"485",400.695,"VI","St. Thomas Island","RAINBOW FUND OF THE ROTARY CLUB OF ST THOMAS II INC",0.400695
"486",309.462,"VI","St. Croix Island","ST CROIX SWIMMING ASSOCIATION",0.309462
"487",0,"VI","St. Croix Island","VIRGIN ISLANDS OLYMPIC COMMITTEE INC",0
"488",70804.558,"VT","Caledonia County","ST JOHNSBURY ACADEMY",70.804558
"489",65055.406,"VT","Windham County","NEW ENGLAND KURN HATTIN HOMES",65.055406
"490",59693.918,"VT","Chittenden County","UNIVERSITY MEDICAL EDUCATION",59.693918
"491",49912.344,"VT","Washington County","ASPIRE LIVING & LEARNING INC",49.912344
"492",32931.884,"VT","Washington County","NORTHEAST WILDERNESS TRUST",32.931884
"493",29350.943,"VT","Caledonia County","NORTHERN COUNTIES HEALTH CARE INC",29.350943
"494",26063.741,"VT","Caledonia County","LYNDON INSTITUTE",26.063741
"495",24137.702,"VT","Chittenden County","VERMONT CATHOLIC COMMUNITY FOUNDATION INC",24.137702
"496",21466.171,"VT","Chittenden County","VERMONT STUDENT DEVELOPMENT FUND INC",21.466171
"497",21107.945,"VT","Chittenden County","LEAHY CENTER FOR LAKE CHAMPLAIN INC",21.107945
"498",139383.937,"WA","Yakima County","COMPREHENSIVE HEALTHCARE",139.383937
"499",139199.795,"WA","Chelan County","COMMUNITY FOUNDATION OF NORTH CENTRAL WASHINGTON",139.199795
"500",93524.41,"WA","Pierce County","ANNIE WRIGHT SCHOOLS",93.52441
"501",79927.044,"WA","King County","HABITAT FOR HUMANITY INTERNATIONAL",79.927044
"502",67954.808,"WA","Whatcom County","WHATCOM COMMUNITY FOUNDATION",67.954808
"503",60450.914,"WA","King County","SEATTLE COUNTRY DAY SCHOOL",60.450914
"504",53960.168,"WA","Kittitas County","CENTRAL WASHINGTON UNIVERSITY FOUNDATION",53.960168
"505",53386.542,"WA","Snohomish County","EVERGREEN SOCIAL IMPACT",53.386542
"506",50061.15,"WA","Chelan County","ICICLE FUND",50.06115
"507",49020.896,"WA","King County","PRIDE FOUNDATION",49.020896
"508",3185260.024,"WI","Dane County","WISCONSIN ALUMNI RESEARCH FOUNDATION",3185.260024
"509",474107.649,"WI","Dane County","MORGRIDGE INSTITUTE FOUNDATION INC",474.107649
"510",157781.401,"WI","Dane County","NATIONAL CONFERENCE OF BAR EXAMINERS",157.781401
"511",150881.031,"WI","Brown County","GREATER GREEN BAY COMMUNITY FOUNDATION INC",150.881031
"512",114127.248,"WI","Sawyer County","MEDICAL SERVICES INC",114.127248
"513",87077.299,"WI","Dane County","MORGRIDGE INSTITUTE FOR RESEARCHINC",87.077299
"514",82806.182,"WI","Dunn County","STOUT UNIVERSITY FOUNDATION INC",82.806182
"515",70020.602,"WI","Brown County","UNIVERSITY VILLAGE HOUSING INC",70.020602
"516",57740.973,"WI","Sauk County","INTERNATIONAL CRANE FOUNDATION INC",57.740973
"517",49432.063,"WI","Ashland County","NORTHLAND COLLEGE",49.432063
"518",136855.747,"WV","Upshur County","WEST VIRGINIA WESLEYAN COLLEGE",136.855747
"519",79687.402,"WV","Wood County","PARKERSBURG AREA COMMUNITY FOUNDATION INC",79.687402
"520",60688.007,"WV","Raleigh County","BECKLEY AREA FOUNDATION INC",60.688007
"521",54548.093,"WV","Greenbrier County","WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE FOUNDATION",54.548093
"522",42502,"WV","Mineral County","POTOMAC HIGHLAND AIRPORT AUTHORITY",42.502
"523",38139.381,"WV","Marion County","FAIRMONT STATE FOUNDATION INC",38.139381
"524",27999.209,"WV","Cabell County","BIG GREEN SCHOLARSHIP FOUNDATION INC",27.999209
"525",27273.709,"WV","Marion County","MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTERS INC",27.273709
"526",24729.641,"WV","Gilmer County","GLENVILLE STATE UNIVERSITY FOUNDATION",24.729641
"527",23858.3,"WV","Wood County","SISTERS OF ST JOSEPH CHARITABLE FUND INC",23.8583
"528",118882.238,"WY","Natrona County","CASPER COLLEGE FOUNDATION",118.882238
"529",16474.152,"WY","Albany County","CATHEDRAL HOME FOR CHILDREN",16.474152
"530",15089.746,"WY","Hot Springs County","WILLIAM H AND CARRIE GOTTSCHE FOUNDATION",15.089746
"531",13748.337,"WY","Teton County","TETON RAPTOR CENTER",13.748337
"532",11203.178,"WY","Platte County","WYOMING CHILD & FAMILY DEVELOPEMENT INC",11.203178
"533",7150.402,"WY","Teton County","TETON COUNTY SEARCH & RESCUE FOUNDATION",7.150402
"534",5824.495,"WY","Lincoln County","LINCOLN SELF RELIANCE INCORPORATED",5.824495
"535",5623.567,"WY","Fremont County","REACH FOUNDATION",5.623567
"536",5368.974,"WY","Park County","CHILDRENS RESOURCE CENTER-SPECIAL TOUCH PRESCHOOL INC",5.368974
"537",4841.115,"WY","Carbon County","ASSISTED CARE FACILITY",4.841115
